TICKER,ACTION,PRICE,QUANTITY,DATE
AAPL,SELL,152.27,7,2026-08-30
GOLD,BUY,2307.36,13,2026-08-20
MSFT,BUY,435.5,13,2026-08-27
TSLA,BUY,186.3,5,2026-08-09
TSLA,SELL,186.14,42,2026-08-11
GOOGL,SELL,137.64,32,2026-08-10
GOOGL,BUY,126.28,19,2026-08-04
GOLD,SELL,2297.17,28,2026-08-01
GOLD,SELL,2057.71,28,2026-08-19
GOLD,SELL,2240.83,27,2026-08-20
AAPL,SELL,160.14,47,2026-08-22
TSLA,SELL,213.3,35,2026-08-10
GOLD,BUY,2056.45,16,2026-08-09
AAPL,BUY,142.24,27,2026-08-26
MSFT,BUY,365.49,45,2026-08-27
