TICKER,ACTION,PRICE,QUANTITY,DATE
GOLD,BUY,1907.27,29,2026-03-10
GOLD,SELL,1908.88,9,2026-03-16
TSLA,SELL,200.32,10,2026-03-19
MSFT,BUY,421.21,6,2026-03-06
GOOGL,SELL,145.54,10,2026-03-06
AAPL,SELL,143.05,15,2026-03-17
TSLA,SELL,185.98,26,2026-03-03
TSLA,BUY,190.29,24,2026-03-24
TSLA,SELL,217.23,42,2026-03-15
MSFT,BUY,360.09,26,2026-03-29
MSFT,BUY,367.41,19,2026-03-13
MSFT,BUY,373.12,36,2026-03-04
AAPL,BUY,152.09,17,2026-03-16
MSFT,BUY,364.91,18,2026-03-01
AAPL,BUY,136.64,48,2026-03-09
